2026-03-26 17:20:03,449 | INFO | aiogram.dispatcher | Run polling for bot @AutomobileTelegramBot id=8766508879 - 'Automobile_Telegram_Bot'
2026-03-26 17:22:13,538 | INFO | aiogram.dispatcher | Polling stopped
2026-03-26 17:22:13,790 | INFO | aiogram.dispatcher | Polling stopped for bot @AutomobileTelegramBot id=8766508879 - 'Automobile_Telegram_Bot'
2026-03-26 17:22:24,910 | INFO | __main__ | 🚀 Бот запускается...
2026-03-26 17:22:24,910 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-26 17:22:24,910 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-26 17:22:24,910 | INFO | apscheduler.scheduler | Added job "auto_post" to job store "default"
2026-03-26 17:22:24,910 | INFO | apscheduler.scheduler | Added job "find_new_rss_sources" to job store "default"
2026-03-26 17:22:24,910 | INFO | apscheduler.scheduler | Scheduler started
2026-03-26 17:22:24,910 | INFO | __main__ | ✅ Scheduler запущен
2026-03-26 17:22:24,910 | INFO | aiogram.dispatcher | Start polling
2026-03-26 17:22:25,256 | INFO | aiogram.dispatcher | Run polling for bot @AutomobileTelegramBot id=8766508879 - 'Automobile_Telegram_Bot'
2026-03-26 17:22:54,913 | INFO | apscheduler.executors.default | Running job "auto_post (trigger: interval[0:00:30], next run at: 2026-03-26 17:23:24 +04)" (scheduled at 2026-03-26 17:22:54.910989+04:00)
2026-03-26 17:22:54,913 | INFO | scheduler | ⏰ Запуск авто-поста
2026-03-26 17:22:54,913 | WARNING | storage | ⚠️ Кеш пуст
2026-03-26 17:22:54,913 | INFO | scheduler | ❌ Нет постов — генерирую новую пачку
2026-03-26 17:22:54,913 | INFO | news_parser | 📡 Парсим: https://www.motor1.com/rss/news/
2026-03-26 17:22:55,799 | INFO | news_parser | 📡 Парсим: https://insideevs.com/rss/news/
2026-03-26 17:22:56,627 | INFO | news_parser | 📡 Парсим: https://www.autocar.co.uk/rss
2026-03-26 17:22:57,288 | INFO | news_parser | 📡 Парсим: https://feeds.feedburner.com/autonews/RSS
2026-03-26 17:22:57,672 | INFO | news_parser | 📰 Найдено новостей: 10
2026-03-26 17:22:57,672 | INFO | news_parser | 🔥 Трендовых новостей: 7
2026-03-26 17:23:03,083 | INFO | httpx | HTTP Request: POST https://api.aitunnel.ru/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-26 17:23:06,561 | INFO | httpx | HTTP Request: POST https://api.aitunnel.ru/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-26 17:23:10,788 | INFO | httpx | HTTP Request: POST https://api.aitunnel.ru/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-26 17:23:15,841 | INFO | httpx | HTTP Request: POST https://api.aitunnel.ru/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-26 17:23:20,235 | INFO | httpx | HTTP Request: POST https://api.aitunnel.ru/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-26 17:23:24,917 | WARNING | apscheduler.scheduler | Execution of job "auto_post (trigger: interval[0:00:30], next run at: 2026-03-26 17:23:24 +04)" skipped: maximum number of running instances reached (1)
2026-03-26 17:23:25,376 | INFO | httpx | HTTP Request: POST https://api.aitunnel.ru/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-26 17:23:29,578 | INFO | httpx | HTTP Request: POST https://api.aitunnel.ru/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-26 17:23:29,578 | INFO | storage | 📦 Добавляю 7 постов в кеш
2026-03-26 17:23:29,642 | INFO | storage | 📤 Беру пост из кеша
2026-03-26 17:23:30,012 | INFO | poster | 📢 Пост отправлен
2026-03-26 17:23:30,013 | INFO | scheduler | ✅ Пост опубликован
2026-03-26 17:23:30,014 | INFO | apscheduler.executors.default | Job "auto_post (trigger: interval[0:00:30], next run at: 2026-03-26 17:23:54 +04)" executed successfully
2026-03-26 17:23:54,917 | INFO | apscheduler.executors.default | Running job "auto_post (trigger: interval[0:00:30], next run at: 2026-03-26 17:24:24 +04)" (scheduled at 2026-03-26 17:23:54.910989+04:00)
2026-03-26 17:23:54,918 | INFO | scheduler | ⏰ Запуск авто-поста
2026-03-26 17:23:54,920 | INFO | storage | 📤 Беру пост из кеша
2026-03-26 17:23:55,263 | INFO | poster | 📢 Пост отправлен
2026-03-26 17:23:55,265 | INFO | scheduler | ✅ Пост опубликован
2026-03-26 17:23:55,267 | INFO | apscheduler.executors.default | Job "auto_post (trigger: interval[0:00:30], next run at: 2026-03-26 17:24:24 +04)" executed successfully
2026-03-26 17:24:13,455 | INFO | aiogram.dispatcher | Polling stopped
2026-03-26 17:24:13,719 | INFO | aiogram.dispatcher | Polling stopped for bot @AutomobileTelegramBot id=8766508879 - 'Automobile_Telegram_Bot'
2026-03-26 17:38:46,955 | INFO | __main__ | 🚀 Бот запускается...
2026-03-26 17:38:46,971 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-26 17:38:46,972 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-03-26 17:38:46,973 | INFO | apscheduler.scheduler | Added job "auto_post" to job store "default"
2026-03-26 17:38:46,973 | INFO | apscheduler.scheduler | Added job "find_new_rss_sources" to job store "default"
2026-03-26 17:38:46,973 | INFO | apscheduler.scheduler | Scheduler started
2026-03-26 17:38:46,974 | INFO | __main__ | ✅ Scheduler запущен
2026-03-26 17:38:46,974 | INFO | aiogram.dispatcher | Start polling
2026-03-26 17:38:47,318 | INFO | aiogram.dispatcher | Run polling for bot @AutomobileTelegramBot id=8766508879 - 'Automobile_Telegram_Bot'
2026-03-26 17:38:54,340 | INFO | aiogram.dispatcher | Polling stopped
2026-03-26 17:38:54,594 | INFO | aiogram.dispatcher | Polling stopped for bot @AutomobileTelegramBot id=8766508879 - 'Automobile_Telegram_Bot'
